,status_id,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
0,246675545449582_1649696485147474,529,512,262,432,92,3,1,1,0
1,246675545449582_1649426988507757,150,0,0,150,0,0,0,0,0
2,246675545449582_1648730588577397,227,236,57,204,21,1,1,0,0
3,246675545449582_1648576705259452,111,0,0,111,0,0,0,0,0
4,246675545449582_1645700502213739,213,0,0,204,9,0,0,0,0
5,246675545449582_1645650162218773,217,6,0,211,5,1,0,0,0
6,246675545449582_1645564175560705,503,614,72,418,70,10,2,0,3
7,246675545449582_1644824665634656,295,453,53,260,32,1,1,0,1
8,246675545449582_1644655795651543,203,1,0,198,5,0,0,0,0
9,246675545449582_1638788379571618,170,9,1,167,3,0,0,0,0
10,246675545449582_1637655039684952,210,2,3,202,7,1,0,0,0
11,246675545449582_1636730006444122,222,4,0,213,5,4,0,0,0
12,246675545449582_1635846033199186,313,4,2,305,6,2,0,0,0
13,246675545449582_1635730986544024,209,4,0,200,8,1,0,0,0
14,246675545449582_1632874756829647,346,11,0,335,10,1,0,0,0
15,246675545449582_1628507150599741,332,100,30,303,23,1,5,0,0
16,246675545449582_1626584134125376,135,256,79,117,18,0,0,0,0
17,246675545449582_1622470701203386,150,173,47,132,16,1,0,1,0
18,246675545449582_1619188648198258,221,166,36,192,28,0,1,0,0
19,246675545449582_1617858078331315,152,2,0,149,3,0,0,0,0
20,246675545449582_1617109651739491,234,15,1,221,12,1,0,0,0
21,246675545449582_1617051285078661,227,7,1,217,7,2,1,0,0
22,246675545449582_1615645795219210,98,0,0,96,0,2,0,0,0
23,246675545449582_1615629888554134,18,0,0,18,0,0,0,0,0
24,246675545449582_1615585301891926,102,0,0,100,0,2,0,0,0
25,246675545449582_1615510251899431,37,0,1,37,0,0,0,0,0
26,246675545449582_1612677855516004,75,36,14,70,5,0,0,0,0
27,246675545449582_1612652492185207,90,78,9,85,5,0,0,0,0
28,246675545449582_1607114469405676,145,9,0,138,7,0,0,0,0
29,246675545449582_1603834916400298,253,300,31,229,22,1,1,0,0
30,246675545449582_1603743213076135,85,0,0,81,2,2,0,0,0
31,246675545449582_1601965753253881,45,14,0,40,5,0,0,0,0
32,246675545449582_1601596129957510,92,0,0,85,4,2,1,0,0
33,246675545449582_1601516779965445,125,1,0,116,8,1,0,0,0
34,246675545449582_1599664246817365,119,4,0,116,3,0,0,0,0
35,246675545449582_1599393216844468,293,8,0,281,11,1,0,0,0
36,246675545449582_1596564337127356,128,137,26,110,16,2,0,0,0
37,246675545449582_1594428064007650,84,15,13,78,5,1,0,0,0
38,246675545449582_1594137564036700,66,11,6,61,4,1,0,0,0
39,246675545449582_1592459934204463,171,292,28,150,19,1,1,0,0
40,246675545449582_1591545580962565,90,72,23,79,10,1,0,0,0
41,246675545449582_1587015831415540,139,39,9,121,16,1,1,0,0
42,246675545449582_1585003828283407,236,181,21,201,33,0,1,0,1
43,246675545449582_1584252028358587,225,210,34,193,30,0,2,0,0
44,246675545449582_1583900568393733,275,12,0,260,11,4,0,0,0
45,246675545449582_1583080255142431,372,456,37,334,31,1,1,1,4
46,246675545449582_1580958342021289,445,9,0,419,23,3,0,0,0
47,246675545449582_1580162495434207,128,60,11,114,13,0,0,0,1
48,246675545449582_1578866802230443,186,235,46,163,19,0,3,0,1
49,246675545449582_1577938978989892,309,444,36,254,42,2,8,3,0
50,246675545449582_1577078175742639,77,11,3,75,2,0,0,0,0
51,246675545449582_1576207142496409,119,72,28,103,16,0,0,0,0
52,246675545449582_1574973649286425,100,21,13,95,5,0,0,0,0
53,246675545449582_1574253679358422,240,255,111,193,44,1,1,0,1
54,246675545449582_1573231492793974,164,136,48,146,15,2,0,1,0
55,246675545449582_1572311072886016,202,327,42,171,30,1,0,0,0
56,246675545449582_1571313049652485,211,284,46,186,25,0,0,0,0
57,246675545449582_1570062096444247,148,114,16,136,10,0,2,0,0
58,246675545449582_1569275653189558,97,81,16,84,13,0,0,0,0
59,246675545449582_1568291729954617,279,292,34,254,20,3,1,1,0
60,246675545449582_1568182719965518,263,8,0,245,14,4,0,0,0
61,246675545449582_1568125783304545,177,193,34,151,25,1,0,0,0
62,246675545449582_1563157113801412,517,32,1,484,26,7,0,0,0
63,246675545449582_1563042160479574,289,258,33,256,33,0,0,0,0
64,246675545449582_1561427387307718,66,13,0,65,1,0,0,0,0
65,246675545449582_1561426890641101,112,6,0,104,8,0,0,0,0
66,246675545449582_1561178647332592,206,259,48,181,22,1,2,0,0
67,246675545449582_1560153374101786,362,468,86,305,56,0,0,1,0
68,246675545449582_1558134034303720,184,130,51,161,23,0,0,0,0
69,246675545449582_1557086421075148,216,251,34,199,16,0,0,0,1
70,246675545449582_1557066321077158,57,0,0,56,1,0,0,0,0
71,246675545449582_1556033787847078,272,258,43,226,44,1,1,0,0
72,246675545449582_1555610941222696,248,247,34,208,33,3,2,0,2
73,246675545449582_1555011641282626,132,89,40,110,20,1,0,0,1
74,246675545449582_1553995058050951,226,341,41,196,30,0,0,0,0
75,246675545449582_1553987821385008,35,1,0,35,0,0,0,0,0
76,246675545449582_1552962021487588,219,316,36,170,46,3,0,0,0
77,246675545449582_1552783698172087,94,1,1,94,0,0,0,0,0
78,246675545449582_1551983908252066,259,368,50,234,25,0,0,0,0
79,246675545449582_1551534661630324,62,1,0,62,0,0,0,0,0
80,246675545449582_1551514168299040,127,76,21,114,13,0,0,0,0
81,246675545449582_1550682265048897,149,63,15,134,15,0,0,0,0
82,246675545449582_1548244011959389,134,171,41,116,18,0,0,0,0
83,246675545449582_1546364775480646,392,461,47,360,32,0,0,0,0
84,246675545449582_1545432958907161,310,540,41,284,26,0,0,0,0
85,246675545449582_1537523323031458,14,3,0,12,2,0,0,0,0
86,246675545449582_1530240427093081,293,6,1,275,15,3,0,0,0
87,246675545449582_1527322154051575,236,12,0,226,8,1,1,0,0
88,246675545449582_1521905564593234,312,10,0,291,18,3,0,0,0
89,246675545449582_1502675606516230,24,12,0,24,0,0,0,0,0
90,246675545449582_1497272363723221,16,9,0,15,1,0,0,0,0
91,246675545449582_1495724170544707,33,12,0,32,1,0,0,0,0
92,246675545449582_1492286100888514,675,10,0,645,29,1,0,0,0
93,246675545449582_1491577434292714,737,18,0,697,31,9,0,0,0
94,246675545449582_1490258864424571,572,16,0,554,16,2,0,0,0
95,246675545449582_1479588818824909,23,7,0,20,3,0,0,0,0
96,246675545449582_1477842952332829,266,25,0,250,11,5,0,0,0
97,246675545449582_1477788442338280,378,512,30,348,27,2,0,0,1
98,246675545449582_1475847732532351,421,709,30,373,45,2,0,1,0
99,246675545449582_1474958169287974,1493,1979,753,1333,139,9,3,8,1
100,246675545449582_1472990009484790,76,17,0,76,0,0,0,0,0
101,246675545449582_1466481810135610,36,11,0,34,2,0,0,0,0
102,246675545449582_1460991780684613,19,8,0,18,0,0,1,0,0
103,246675545449582_1458408214276303,27,10,0,27,0,0,0,0,0
104,246675545449582_1454283141355477,117,2,53,108,9,0,0,0,0
105,246675545449582_1454277441356047,146,1,0,145,1,0,0,0,0
106,246675545449582_1453716178078840,166,0,13,151,7,0,0,8,0
107,246675545449582_1453707518079706,190,0,31,171,0,0,0,19,0
108,246675545449582_1452022754914849,217,16,0,213,4,0,0,0,0
109,246675545449582_1451936094923515,458,14,0,451,3,4,0,0,0
110,246675545449582_1451093285007796,553,15,0,538,12,3,0,0,0
111,246675545449582_1451078198342638,203,18,11,190,7,6,0,0,0
112,246675545449582_1450141395102985,1005,25,1,979,16,9,1,0,0
113,246675545449582_1450110585106066,202,145,23,182,19,0,0,0,1
114,246675545449582_1449381378512320,428,14,0,419,4,5,0,0,0
115,246675545449582_1448675405249584,479,17,0,462,10,7,0,0,0
116,246675545449582_1448558785261246,212,116,11,201,10,1,0,0,0
117,246675545449582_1447515715365553,225,157,17,211,14,0,0,0,0
118,246675545449582_1446827718767686,171,46,5,156,12,2,1,0,0
119,246675545449582_1446531832130608,247,120,16,232,14,1,0,0,0
120,246675545449582_1445552635561861,269,453,39,242,26,1,0,0,0
121,246675545449582_1445400822243709,258,486,32,235,23,0,0,0,0
122,246675545449582_1445354408915017,109,2,1,104,5,0,0,0,0
123,246675545449582_1445261388924319,97,5,0,96,0,1,0,0,0
124,246675545449582_1444576748992783,280,199,25,254,24,2,0,0,0
125,246675545449582_1444533065663818,325,77,21,293,30,1,1,0,0
126,246675545449582_1444306942353097,51,11,0,51,0,0,0,0,0
127,246675545449582_1443547965762328,280,825,47,243,35,1,1,0,0
128,246675545449582_1442942755822849,688,0,0,632,34,0,0,22,0
129,246675545449582_1442580062525785,365,805,46,320,39,1,3,0,2
130,246675545449582_1441410912642700,295,5,0,295,0,0,0,0,0
131,246675545449582_1440443499406108,27,14,0,26,1,0,0,0,0
132,246675545449582_1434870273296764,15,11,0,15,0,0,0,0,0
133,246675545449582_1433620366755088,16,12,0,16,0,0,0,0,0
134,246675545449582_1430023863781405,29,12,0,29,0,0,0,0,0
135,246675545449582_1429927933790998,28,6,0,28,0,0,0,0,0
136,246675545449582_1428095953974196,8,8,0,8,0,0,0,0,0
137,246675545449582_1427202707396854,10,9,0,10,0,0,0,0,0
138,246675545449582_1426309230819535,39,8,0,39,0,0,0,0,0
139,246675545449582_1425407187576406,49,11,0,47,2,0,0,0,0
140,246675545449582_1423676417749483,226,449,37,189,25,1,1,10,0
141,246675545449582_1423672414416550,104,49,13,91,12,0,0,1,0
